"taxon","taxon.id","P25","WS64","WhitmoreFull","WhitmoreSmall","type","cf"
"Diervilla",2263,"NA","NA","NA","NA","NA","NA"
"Diphasiastrum undiff.",2264,"NA","NA","LYCOPODX","LYCOPODX","NA","NA"
"Draba",2265,"NA","Brassicaceae","BRASSICACEAE","BRASSICACEAE","NA","NA"
"Droseraceae",2266,"NA","NA","NA","NA","NA","NA"
"Dryopteris fragrans",2267,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Dryopteris undiff.",2268,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Gentiana nivalis",2269,"NA","NA","NA","NA","NA","NA"
"Gentiana pneumonanthe",2270,"NA","NA","NA","NA","NA","NA"
"Gentiana verna",2271,"NA","NA","NA","NA","NA","NA"
"Goniolimon",2272,"NA","NA","NA","NA","NA","NA"
"Grossulariaceae",2274,"NA","NA","NA","NA","NA","NA"
"Grossulariaceae undiff.",2275,"NA","NA","NA","NA","NA","NA"
"Linaceae",2276,"NA","NA","NA","NA","NA","NA"
"Hedwigia",2277,"NA","NA","NA","NA","NA","NA"
"Hydrocharitaceae",2279,"NA","NA","NA","NA","NA","NA"
"Juncaceae undiff.",2280,"NA","NA","NA","NA","NA","NA"
"Lloydia",2281,"NA","NA","LILIACEAE","LILIACEAE","NA","NA"
"Lycopodium juniperoideum",2283,"NA","Total Lycopodium","LYCOPODX","LYCOPODX","NA","NA"
"Meesia",2284,"NA","NA","NA","NA","NA","NA"
"Mentha",2286,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Mertensia",2287,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Ophioglossaceae undiff.",2288,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Pedicularis undiff.",2289,"NA","NA","PEDICULARI","SCROPHUL","NA","NA"
"Polygonum sect. Polygonum",2291,"NA","NA","POLYGONMX","POLYGONAX","NA","NA"
"Polygonum sect. Duravia",2292,"NA","NA","POLYGONMX","POLYGONAX","NA","NA"
"Picea sect. Eupicea",2295,"Picea","Picea","PICEAX","PICEAX","NA","NA"
"Picea sect. Omorika",2296,"Picea","Picea","PICEAX","PICEAX","NA","NA"
"Polemonium acutiflorum",2297,"NA","NA","POLEMONI","POLEMONI","NA","NA"
"Polemonium boreale",2298,"NA","NA","POLEMONI","POLEMONI","NA","NA"
"Polypodiaceae undiff.",2299,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Polypodium sibiricum",2300,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Polypodium vulgare",2301,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Portulacaceae undiff.",2302,"NA","NA","NA","NA","NA","NA"
"Pulsatilla",2304,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Selaginella sanguinolenta",2305,"NA","NA","SELAGINE","SELAGINE","NA","NA"
"Silene",2306,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Taraxacum",2307,"Prairie Forbs","Asteraceae","ASTERCICHO","ASTERX","NA","NA"
"Trachyphyllum",2308,"NA","NA","NA","NA","NA","NA"
"Tsuga diversifolia",2309,"Tsuga","Tsuga undifferentiated","TSUGAX","TSUGAX","NA","NA"
"Valeriana capitata",2310,"NA","NA","NA","NA","NA","NA"
"Valeriana officinalis",2311,"NA","NA","NA","NA","NA","NA"
"Valeriana undiff.",2312,"NA","NA","NA","NA","NA","NA"
"Violaceae",2313,"NA","NA","NA","NA","NA","NA"
"Violaceae undiff.",2314,"NA","NA","NA","NA","NA","NA"
"Urtica-type undiff.",2315,"NA","NA","URTICACX","URTICACX","NA","NA"
"Symphoricarpos occidentalis",2316,"NA","NA","CAPRIFOLIA","CAPRIFOLIA","NA","NA"
"Picea glauca",2317,"Picea","Picea","PICGLAUC","PICEAX","NA","NA"
"Picea mariana",2318,"Picea","Picea","PICMARIA","PICEAX","NA","NA"
"Saxifraga oppositifolia",2319,"NA","Saxifraga","SXFRAOPP","SXFRAGAX","NA","NA"
"Micranthes pensylvanica",2320,"NA","NA","NA","NA","NA","NA"
"Botrychium simplex-type",2321,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Frangula alnus",2322,"NA","NA","RHAMNACEAE","RHAMNACEAE","NA","NA"
"Woodsia ilvensis",2323,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Lycopodium suspension",2324,"NA","NA","NA","NA","NA","NA"
"Abutilon",2326,"NA","Minor Forbs","MALVACEAE","MALVACEAE","NA","NA"
"Anthocerotales (type 1)",2327,"NA","NA","NA","NA","NA","NA"
"Anthocerotales (type 2)",2328,"NA","NA","NA","NA","NA","NA"
"Anthocerotales (type 3)",2329,"NA","NA","NA","NA","NA","NA"
"Anthocerotales",2330,"NA","NA","NA","NA","NA","NA"
"Caesalpinia-type",2331,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Cardiospermum cf. C. halicacabum",2332,"NA","NA","NA","NA","NA","NA"
"Combretaceae",2333,"NA","NA","NA","NA","NA","NA"
"Cucurbitaceae",2334,"NA","NA","NA","NA","NA","NA"
"Lilianae (monocolpate)",2335,"NA","NA","NA","NA","NA","NA"
"Malvaceae (periporate)",2336,"NA","Minor Forbs","MALVACEAE","MALVACEAE","NA","NA"
"Myriophyllum spicatum-type",2337,"NA","NA","NA","NA","NA","NA"
"Olea",2338,"NA","NA","NA","NA","NA","NA"
"Oleaceae",2339,"NA","NA","NA","NA","NA","NA"
"Syringa",2340,"NA","NA","NA","NA","NA","NA"
"Ophioglossum cf. O. polyphyllum",2341,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Quercus (deciduous)",2342,"Quercus","Quercus","QUERCUS","QUERCUS","NA","NA"
"Unknown (monolete, psilate)",2343,"NA","NA","NA","NA","NA","NA"
"Tamarix",2344,"NA","NA","NA","NA","NA","NA"
"Thymelaeaceae",2345,"NA","Minor Forbs","MALVACEAE","MALVACEAE","NA","NA"
"Typha cf. T. domingensis",2346,"NA","NA","NA","NA","NA","NA"
"Lannea-type",2347,"NA","NA","NA","NA","NA","NA"
"Brachystegia",2348,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Maerua-type",2349,"NA","NA","NA","NA","NA","NA"
"Euclea",2351,"NA","NA","NA","NA","NA","NA"
"Ebenaceae",2352,"NA","NA","NA","NA","NA","NA"
"Bridelia",2353,"NA","Minor Forbs","NA","NA","NA","NA"
"Clutia",2354,"NA","Minor Forbs","NA","NA","NA","NA"
"Macaranga-type",2355,"NA","Minor Forbs","NA","NA","NA","NA"
"Tetrorchidium",2356,"NA","Minor Forbs","NA","NA","NA","NA"
"Uapaca undiff.",2357,"NA","Minor Forbs","NA","NA","NA","NA"
"Uapaca",2358,"NA","Minor Forbs","NA","NA","NA","NA"
"Harungana",2359,"NA","NA","NA","NA","NA","NA"
"Hymenocardia",2360,"NA","Minor Forbs","NA","NA","NA","NA"
"Anthocleista",2361,"NA","NA","NA","NA","NA","NA"
"Nuxia/Ficalhoa",2362,"NA","NA","NA","NA","NA","NA"
"Ekebergia-type",2363,"NA","NA","NA","NA","NA","NA"
"Meliaceae",2364,"NA","NA","NA","NA","NA","NA"
"Acacia (type I)",2365,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Acacia (type III)",2366,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Entada-type",2367,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Syzygium-type",2368,"NA","NA","NA","NA","NA","NA"
"Dracaena steudneri",2369,"NA","NA","NA","NA","NA","NA"
"Dracaena",2370,"NA","NA","NA","NA","NA","NA"
"Asparagaceae subf. Agavoideae",2371,"NA","NA","NA","NA","NA","NA"
"Ilex mitis",2372,"NA","NA","NA","NA","NA","NA"
"Polyscias fulva-type",2373,"NA","NA","NA","NA","NA","NA"
"Polyscias",2374,"NA","NA","NA","NA","NA","NA"
"Schefflera",2375,"NA","NA","NA","NA","NA","NA"
"Schefflera abyssinica-type",2376,"NA","NA","NA","NA","NA","NA"
"Schefflera myriantha-type",2377,"NA","NA","NA","NA","NA","NA"
"Commiphora",2378,"NA","NA","NA","NA","NA","NA"
"Commiphora edulis-type",2379,"NA","NA","NA","NA","NA","NA"
"Cassia mimosoides-type",2380,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Senecio mannii-type",2381,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Afrocrania volkensii",2383,"NA","NA","NA","NA","NA","NA"
"Shirakia elliptica-type",2384,"NA","Minor Forbs","NA","NA","NA","NA"
"Uapaca kirkiana-type",2385,"NA","Minor Forbs","NA","NA","NA","NA"
"Garcinia",2386,"NA","NA","NA","NA","NA","NA"
"Garcinia volkensii-type",2387,"NA","NA","NA","NA","NA","NA"
"Symphonia globulifera",2388,"NA","NA","NA","NA","NA","NA"
"Apodytes dimidiata",2389,"NA","NA","NA","NA","NA","NA"
"Apodytes",2390,"NA","NA","NA","NA","NA","NA"
"Bersama",2391,"NA","NA","NA","NA","NA","NA"
"Melianthaceae",2392,"NA","NA","NA","NA","NA","NA"
"Bersama abyssinica-type",2393,"NA","NA","NA","NA","NA","NA"
"Myrianthus-type",2394,"NA","NA","URTICACX","URTICACX","NA","NA"
"Myrianthus holstii-type",2395,"NA","NA","URTICACX","URTICACX","NA","NA"
"Trilepisium-type",2396,"NA","NA","URTICACX","URTICACX","NA","NA"
"Trilepisium madagascariense-type",2397,"NA","NA","URTICACX","URTICACX","NA","NA"
"Maesa",2398,"NA","NA","NA","NA","NA","NA"
"Maesa lanceolata-type",2399,"NA","NA","NA","NA","NA","NA"
"Rapanea melanophloeos-type",2400,"NA","NA","NA","NA","NA","NA"
"Olea capensis-type",2401,"NA","NA","NA","NA","NA","NA"
"Olea europaea-type",2402,"NA","NA","NA","NA","NA","NA"
"Phoenix",2403,"NA","NA","ARECACEAE","ARECACEAE","NA","NA"
"Phoenix reclinata-type",2404,"NA","NA","ARECACEAE","ARECACEAE","NA","NA"
"Baphiopsis",2405,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Baphiopsis parviflora",2406,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Protea-type",2407,"NA","NA","NA","NA","NA","NA"
"Cliffortia",2408,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Cliffortia nitidula-type",2409,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Hagenia",2410,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Hagenia abyssinica",2411,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Parinari-type",2412,"NA","NA","NA","NA","NA","NA"
"Prunus africana-type",2413,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Rubus pinnatus-type",2414,"NA","Rosaceae","RUBUS","RUBUS","NA","NA"
"Canthium",2415,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Keetia gueinzii-type",2416,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Psydrax schimperiana-type",2417,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Galiniera",2418,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Galiniera saxifraga-type",2419,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Hallea",2420,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Hallea rubrostipulata-type",2421,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Hymenodictyon",2422,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Hymenodictyon floribundum-type",2423,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Clausena",2424,"NA","NA","NA","NA","NA","NA"
"Clausena anisata",2425,"NA","NA","NA","NA","NA","NA"
"Teclea-type",2426,"NA","NA","NA","NA","NA","NA"
"Toddalia asiatica",2427,"NA","NA","NA","NA","NA","NA"
"Toddalia asiatica-type",2428,"NA","NA","NA","NA","NA","NA"
"Zanthoxylum chalybeum-type",2429,"NA","NA","NA","NA","NA","NA"
"Zanthoxylum usambarense-type",2430,"NA","NA","NA","NA","NA","NA"
"Blighia",2431,"NA","NA","NA","NA","NA","NA"
"Blighia unijugata-type",2432,"NA","NA","NA","NA","NA","NA"
"Dodonaea viscosa-type",2433,"NA","NA","NA","NA","NA","NA"
"Zanha",2434,"NA","NA","NA","NA","NA","NA"
"Zanha golungensis-type",2435,"NA","NA","NA","NA","NA","NA"
"Chrysophyllum bangweolense-type",2436,"NA","NA","NA","NA","NA","NA"
"Dombeya-type",2437,"NA","Minor Forbs","MALVACEAE","MALVACEAE","NA","NA"
"Sterculia-type",2438,"NA","Minor Forbs","MALVACEAE","MALVACEAE","NA","NA"
"Trema orientalis-type",2439,"NA","NA","URTICACX","URTICACX","NA","NA"
"Acanthus-type",2440,"NA","NA","NA","NA","NA","NA"
"Hypoestes-type",2441,"NA","NA","NA","NA","NA","NA"
"Isoglossa",2442,"NA","NA","NA","NA","NA","NA"
"Justicia striata-type",2443,"NA","NA","NA","NA","NA","NA"
"Mimulopsis-type",2444,"NA","NA","NA","NA","NA","NA"
"Achyranthes-type",2445,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Achyranthes aspera-type",2446,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Celosia-type",2447,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Celosia trigyna-type",2448,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Sericostachys-type",2449,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Sericostachys scandens-type",2450,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Cerastium afromontanum-type",2451,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Cerastium octandrum-type",2452,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Acanthaceae undiff.",2453,"NA","NA","NA","NA","NA","NA"
"Silene burchellii-type",2454,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Stellaria mannii-type",2455,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Uebelinia",2456,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Uebelinia abyssinica-type",2457,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Commelina",2458,"NA","NA","NA","NA","NA","NA"
"Commelina benghalensis-type",2459,"NA","NA","NA","NA","NA","NA"
"Carduus",2460,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Crassocephalum",2461,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Crassocephalum montuosum-type",2462,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Asteraceae tribe Lactuceae",2463,"Prairie Forbs","Asteraceae","ASTERCICHO","ASTERX","NA","NA"
"Ipomoea-type",2464,"NA","NA","NA","NA","NA","NA"
"Ascolepis",2465,"Cyperaceae","Cyperaceae","CYPERACE","CYPERACE","NA","NA"
"Margaritaria",2466,"NA","Minor Forbs","NA","NA","NA","NA"
"Margaritaria discoidea-type",2467,"NA","Minor Forbs","NA","NA","NA","NA"
"Ricinus communis",2468,"NA","Minor Forbs","NA","NA","NA","NA"
"Sebaea",2469,"NA","NA","NA","NA","NA","NA"
"Sebaea brachyphylla-type",2470,"NA","NA","NA","NA","NA","NA"
"Swertia",2471,"NA","NA","NA","NA","NA","NA"
"Swertia usambarensis-type",2472,"NA","NA","NA","NA","NA","NA"
"Laurembergia",2473,"NA","NA","NA","NA","NA","NA"
"Laurembergia tetrandra",2474,"NA","NA","NA","NA","NA","NA"
"Leucas-type",2475,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Lobelia",2476,"NA","NA","CAMPANULACEA","CAMPANULACEA","NA","NA"
"Plantago africana-type",2477,"NA","Plantaginaceae","PLANTAGINX","PLANTAGINX","NA","NA"
"Persicaria nepalensis-type",2478,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Persicaria senegalensis-type",2479,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Potamogeton thunbergii-type",2480,"NA","NA","NA","NA","NA","NA"
"Anagallis-type",2481,"NA","NA","NA","NA","NA","NA"
"Resedaceae",2482,"NA","NA","NA","NA","NA","NA"
"Alchemilla",2483,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Anthospermum",2484,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Rubia-type",2485,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Spermacoce-type",2486,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Virectaria",2487,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Laportea aestuans-type",2488,"NA","NA","URTICACX","URTICACX","NA","NA"
"Pilea bambuseti-type",2490,"NA","NA","URTICACX","URTICACX","NA","NA"
"Asteraceae tribe Vernonieae",2491,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Phyllanthus",2492,"NA","Minor Forbs","NA","NA","NA","NA"
"Phyllanthus niruri-type",2493,"NA","Minor Forbs","NA","NA","NA","NA"
"Phyllanthus rivae-type",2494,"NA","Minor Forbs","NA","NA","NA","NA"
"Securinega",2495,"NA","Minor Forbs","NA","NA","NA","NA"
"Securinega virosa-type",2496,"NA","Minor Forbs","NA","NA","NA","NA"
"Aeschynomene",2499,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Aeschynomene baumii-type",2500,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Kotschya-type",2501,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Smithia",2502,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Smithia elliotii-type",2503,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Vigna",2504,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Vigna luteola-type",2505,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Aidia",2506,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Aidia micrantha-type",2507,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Oldenlandia-type",2508,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Vangueria",2509,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Vangueria madagascariensis-type",2510,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Flabellaria",2511,"NA","NA","NA","NA","NA","NA"
"Flabellaria paniculata-type",2512,"NA","NA","NA","NA","NA","NA"
"Stephania",2513,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Stephania abyssinica-type",2514,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Menispermaceae",2515,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Tiliacora",2516,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Tiliacora funifera-type",2517,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Jasminum",2518,"NA","NA","NA","NA","NA","NA"
"Clematis",2519,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Aerva",2520,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Azolla nilotica",2521,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Hyphaene",2523,"NA","NA","ARECACEAE","ARECACEAE","NA","NA"
"Hyphaene cf. H. thebaica",2524,"NA","NA","ARECACEAE","ARECACEAE","NA","NA"
"Mimusops",2525,"NA","NA","NA","NA","NA","NA"
"Ocimum",2526,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Peristrophe",2527,"NA","NA","NA","NA","NA","NA"
"Peristrophe cf. P. bicalyculata",2528,"NA","NA","NA","NA","NA","NA"
"Randia",2529,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Typha cf. T. elephantina",2530,"NA","NA","NA","NA","NA","NA"
"Laboratory number",2531,"NA","NA","NA","NA","NA","NA"
"Quercus (evergreen)",2532,"Quercus","Quercus","QUERCUS","QUERCUS","NA","NA"
"Gentiana undiff.",2533,"NA","NA","NA","NA","NA","NA"
"Gentiana nivalis-type",2534,"NA","NA","NA","NA","NA","NA"
"Gentiana verna-type",2535,"NA","NA","NA","NA","NA","NA"
"Gentiana pneumonanthe-type",2536,"NA","NA","NA","NA","NA","NA"
"Heracleum",2537,"NA","Minor Forbs","NA","NA","NA","NA"
"Primulaceae subf. Myrsinoideae undiff.",2539,"NA","NA","NA","NA","NA","NA"
"Cyatheaceae undiff.",2540,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Escallonia undiff.",2541,"NA","NA","NA","NA","NA","NA"
"Euphorbiaceae undiff.",2542,"NA","Minor Forbs","EUPHORB","EUPHORB","NA","NA"
"Ulmaceae undiff.",2543,"NA","NA","URTICACX","URTICACX","NA","NA"
"Alchornea undiff.",2544,"NA","Minor Forbs","NA","NA","NA","NA"
"Urticaceae-type undiff.",2545,"NA","NA","URTICACX","URTICACX","NA","NA"
"Viscaceae sensu stricto/Loranthaceae",2546,"NA","NA","NA","NA","NA","NA"
"Beta vulgaris-type",2547,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"cf. Weinmannia",2548,"NA","NA","NA","NA","NA","NA"
"Dianthus-type",2549,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Froelichia-type",2550,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Ludwigia-type",2551,"NA","NA","ONAGRACEAE","ONAGRACEAE","NA","NA"
"Cladium-type",2552,"Cyperaceae","Cyperaceae","CYPERACE","CYPERACE","NA","NA"
"Paronychia americana",2553,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Paronychia chartacea",2554,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Paronychia",2555,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Ximenia",2556,"NA","NA","NA","NA","NA","NA"
"Gentianaceae-type",2557,"NA","NA","NA","NA","NA","NA"
"Pityrogramma",2558,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Cnemidaria/Cyathea",2559,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Gentiana-type",2561,"NA","NA","NA","NA","NA","NA"
"Evolvulus",2562,"NA","NA","NA","NA","NA","NA"
"Gleichenia",2563,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Gleicheniaceae",2564,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Perezia-type",2565,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Montia",2566,"NA","NA","NA","NA","NA","NA"
"Lythrum alatum",2567,"NA","NA","NA","NA","NA","NA"
"Hydrophyllum virginianum",2568,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Zosterella dubia",2569,"NA","NA","NA","NA","NA","NA"
"cf. Populus",2571,"NA","NA","NA","NA","NA","TRUE"
"Typha angustifolia/Sparganium",2572,"NA","NA","NA","NA","NA","NA"
"cf. Decodon verticillatus",2573,"NA","NA","NA","NA","NA","NA"
"cf. Shepherdia",2574,"NA","NA","SHEPHERDIA","SHEPHERDIA","NA","NA"
"cf. Nymphaea",2575,"NA","NA","NA","NA","NA","NA"
"cf. Ilex",2576,"NA","NA","NA","NA","NA","NA"
"cf. Geranium",2577,"NA","NA","NA","NA","NA","NA"
"Dryopteris cf. D. fragrans",2578,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Dryopteris cf. D. filix-mas",2579,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Dryopteris cf. D. goldiana",2580,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Gymnocarpium robertianum",2581,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"cf. Onoclea sensibilis",2582,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Woodsia obtusa",2583,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Woodsia cf. W. ilvensis",2584,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"cf. Asplenium",2585,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Botrychium cf. B. lunaria",2586,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Alternanthera philoxeroides",2587,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Fagus grandifolia",2588,"Fagus","Fagus","FAGUS","FAGUS","NA","NA"
"Caulophyllum thalictroides",2589,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Myosotis",2590,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Micranthes cf. M. virginiensis",2591,"NA","NA","NA","NA","NA","NA"
"cf. Arabis glabra",2592,"NA","NA","NA","NA","NA","NA"
"Triodanis",2593,"NA","NA","CAMPANULACEA","CAMPANULACEA","NA","NA"
"cf. Lobelia siphilitica",2594,"NA","NA","NA","NA","NA","NA"
"Phlox cf. P. hoodii",2595,"NA","NA","POLEMONI","POLEMONI","NA","NA"
"Acalypha cf. A. rhomboidea",2596,"NA","Minor Forbs","NA","NA","NA","NA"
"Monotropa uniflora",2597,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Cornus cf. C. rugosa",2598,"NA","NA","CORNUS","CORNUS","NA","NA"
"Vitis cf. V. aestivalis",2599,"NA","NA","NA","NA","NA","NA"
"Prunus americana",2600,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Thalictrum dioicum-type",2601,"NA","NA","THALICTRUM","THALICTRUM","NA","NA"
"Thalictrum dasycarpum-type",2602,"NA","NA","THALICTRUM","THALICTRUM","NA","NA"
"cf. Hedysarum",2603,"NA","NA","NA","NA","NA","NA"
"Amorpha fruticosa",2604,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Boehmeria-type",2605,"NA","NA","URTICACX","URTICACX","NA","NA"
"cf. Anthoceros",2606,"NA","NA","NA","NA","NA","NA"
"Aralia",2607,"NA","NA","NA","NA","NA","NA"
"Rhexia",2608,"NA","NA","NA","NA","NA","NA"
"Asteraceae (lophate)",2610,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Ambrosia/Iva",2612,"Prairie Forbs","NA","AMBROSIA","AMBROSIA","NA","NA"
"Isoëtes lacustris",2613,"NA","NA","NA","NA","NA","NA"
"Stuckenia vaginatus-type",2615,"NA","NA","NA","NA","NA","NA"
"cf. Brasenia schreberi",2616,"NA","NA","NA","NA","NA","NA"
"Prunus/Amelanchier",2617,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Lonicera albiflora-type",2618,"NA","NA","CAPRIFOLIA","CAPRIFOLIA","NA","NA"
"Polemonium/Gilia",2619,"NA","NA","POLEMONI","POLEMONI","NA","NA"
"Pinus flexilis-type",2620,"Pinus","Pinus haploxylon","PINUSX","PINUSX","NA","NA"
"Athyrium-type",2621,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Lithocarpus-type",2623,"NA","Chrysolepis/Lithocarpus","CHRYSOLEP","CHRYSOLEP","NA","NA"
"Cryptogramma acrostichoides",2624,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Aconogonon tripterocarpum",2625,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Claytonia sarmentosa",2626,"NA","NA","NA","NA","NA","NA"
"Delphinium",2627,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
