"taxon","taxon.id","P25","WS64","WhitmoreFull","WhitmoreSmall","type","cf"
"Crassulaceae",68,"NA","NA","NA","NA","NA","NA"
"Crataegus-type",69,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Brassicaceae undiff.",70,"NA","Brassicaceae","BRASSICACEAE","BRASSICACEAE","NA","NA"
"Cupressaceae",72,"Cupressaceae/Taxaceae","Cupressaceae","CUPRESSA","CUPRESSA","NA","NA"
"Cuscuta",73,"NA","NA","NA","NA","NA","NA"
"Cyperaceae",74,"Cyperaceae","Cyperaceae","CYPERACE","CYPERACE","NA","NA"
"Cyrilla racemiflora",75,"NA","NA","NA","NA","NA","NA"
"Decodon verticillatus",76,"NA","NA","NA","NA","NA","NA"
"Diapensiaceae",78,"NA","NA","NA","NA","NA","NA"
"Diospyros-type",79,"NA","NA","NA","NA","NA","NA"
"Dodonaea",80,"NA","NA","NA","NA","NA","NA"
"Drosera",81,"NA","NA","NA","NA","NA","NA"
"Dryas-type",82,"NA","NA","NA","NA","TRUE","NA"
"Dryopteris-type",83,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Elaeagnus",84,"NA","NA","ELAEAGNX","ELAEAGNX","NA","NA"
"Elaeagnaceae",85,"NA","NA","ELAEAGNX","ELAEAGNX","NA","NA"
"Empetrum",86,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Ephedra undiff.",87,"NA","Ephedra","EPHEDRA","EPHEDRA","NA","NA"
"Ephedra viridis-type",88,"NA","Ephedra","EPHEDRA","EPHEDRA","NA","NA"
"Ephedra trifurca-type",89,"NA","Ephedra","EPHEDRA","EPHEDRA","NA","NA"
"Epilobium",90,"NA","NA","ONAGRACEAE","ONAGRACEAE","NA","NA"
"Equisetum",91,"NA","NA","EQUISETU","EQUISETU","NA","NA"
"Ericaceae",92,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Eriocaulon",93,"NA","NA","NA","NA","NA","NA"
"Eriogonum",94,"NA","Minor Forbs","POLYGONAX","POLYGONAX","NA","NA"
"Eucalyptus spike",95,"NA","NA","NA","NA","NA","NA"
"Eucalyptus suspension",96,"NA","NA","NA","NA","NA","NA"
"Eucalyptus tablets",97,"NA","NA","NA","NA","NA","NA"
"Eugenia",102,"NA","NA","NA","NA","NA","NA"
"Euonymus",103,"NA","NA","NA","NA","NA","NA"
"Euphorbia",104,"NA","Minor Forbs","EUPHORB","EUPHORB","NA","NA"
"Fagopyrum",106,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Fagus",107,"Fagus","Fagus","FAGUS","FAGUS","NA","NA"
"Polypodiophyta undiff.",108,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Forestiera",109,"NA","NA","NA","NA","NA","NA"
"Fraxinus (tetracolpate)",110,"Fraxinus","Total Fraxinus (sum of nigra/penn/undiff)","FRAXINUX","FRAXINUX","NA","NA"
"Fraxinus (tricolpate)",111,"Fraxinus","Total Fraxinus (sum of nigra/penn/undiff)","FRAXINUX","FRAXINUX","NA","NA"
"Fraxinus nigra-type",112,"Fraxinus","Total Fraxinus (sum of nigra/penn/undiff)","FRAXNIGR","FRAXINUX","NA","NA"
"Fraxinus pennsylvanica-type",113,"Fraxinus","Total Fraxinus (sum of nigra/penn/undiff)","FRAXPNAM","FRAXINUX","NA","NA"
"Fraxinus undiff.",114,"Fraxinus","Total Fraxinus (sum of nigra/penn/undiff)","FRAXINUX","FRAXINUX","NA","NA"
"Fungi undiff.",115,"NA","NA","NA","NA","NA","NA"
"Galium",116,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Gaultheria",117,"NA","Ericaceae","ERIVACCI","ERICACEX","NA","NA"
"Gaylussacia",118,"NA","Ericaceae","ERIVACCI","ERICACEX","NA","NA"
"Gentianaceae",119,"NA","NA","NA","NA","NA","NA"
"Geranium",120,"NA","NA","NA","NA","NA","NA"
"Geum-type",121,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Gleditsia",122,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Gomphrena-type",123,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Gordonia",124,"NA","NA","NA","NA","NA","NA"
"Poaceae undiff.",125,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Haloragaceae",126,"NA","NA","NA","NA","NA","NA"
"Herbs undiff.",127,"NA","NA","NA","NA","NA","NA"
"Hippuris vulgaris",129,"NA","NA","NA","NA","NA","NA"
"Humulus-type",130,"NA","NA","URTICACX","URTICACX","NA","NA"
"Hydrophyllum",131,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Hypericum",132,"NA","NA","NA","NA","NA","NA"
"Elymus",134,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Ilex",135,"NA","NA","NA","NA","NA","NA"
"Impatiens",136,"NA","NA","NA","NA","NA","NA"
"Iridaceae",138,"NA","NA","NA","NA","NA","NA"
"Isoëtes",139,"NA","NA","NA","NA","NA","NA"
"Itea",140,"NA","NA","NA","NA","NA","NA"
"Iva undiff.",142,"Prairie Forbs","Asteraceae","IVA","IVA","NA","NA"
"Iva xanthifolia-type",143,"Prairie Forbs","Asteraceae","IVA","IVA","NA","NA"
"Juglans cinerea",144,"Juglans","Juglans","JUGLANSX","JUGLANSX","NA","NA"
"Juglans nigra",145,"Juglans","Juglans","JUGNIGRA","JUGLANSX","NA","NA"
"Juglans undiff.",146,"Juglans","Juglans","JUGLANSX","JUGLANSX","NA","NA"
"Juncaceae",147,"NA","NA","NA","NA","NA","NA"
"Kalmia",148,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Koenigia islandica",149,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Lamiaceae undiff.",150,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Laguncularia",151,"NA","NA","NA","NA","NA","NA"
"Laportea-type",152,"NA","NA","URTICACX","URTICACX","NA","NA"
"Larix",153,"Larix","Larix/Pseudotsuga","LARIXPSEU","LARIXPSEU","NA","NA"
"Lechea",154,"NA","NA","NA","NA","NA","NA"
"Rhododendron subsect. Ledum",155,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Rhododendron subsect. Ledum/Chamaedaphne calyculata",156,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Fabaceae undiff.",157,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Leitneria floridana",158,"NA","NA","NA","NA","NA","NA"
"Araceae subf. Lemnoideae",159,"NA","NA","NA","NA","NA","NA"
"Asteraceae subf. Cichorioideae",160,"Prairie Forbs","Asteraceae","ASTERCICHO","ASTERX","NA","NA"
"Liliaceae undiff.",161,"NA","NA","LILIACEAE","LILIACEAE","NA","NA"
"Liquidambar",162,"Liquidambar","Liquidambar","LIQUIDAM","LIQUIDAM","NA","NA"
"Liriodendron",163,"NA","NA","LIRIODEN","MAGNOLIACE","NA","NA"
"Lonicera",164,"NA","NA","CAPRIFOLIA","CAPRIFOLIA","NA","NA"
"Viscaceae sensu stricto",165,"NA","NA","NA","NA","NA","NA"
"Lycopodiaceae undiff.",166,"NA","NA","NA","NA","NA","NA"
"Diphasiastrum alpinum",167,"NA","NA","LYCOPODX","LYCOPODX","NA","NA"
"Lycopodium annotinum",168,"NA","Total Lycopodium","LYCOPODX","LYCOPODX","NA","NA"
"Pseudolycopodiella caroliniana",169,"NA","NA","NA","NA","NA","NA"
"Lycopodium clavatum",170,"NA","Total Lycopodium","LYCOPODX","LYCOPODX","NA","NA"
"Diphasiastrum complanatum-type",171,"NA","NA","LYCOPODX","LYCOPODX","TRUE","NA"
"Lycopodiella inundata",172,"NA","NA","NA","NA","NA","NA"
"Huperzia lucidula",173,"NA","NA","NA","NA","NA","NA"
"Lycopodium obscurum",174,"NA","Total Lycopodium","LYCOPODX","LYCOPODX","NA","NA"
"Huperzia selago",175,"NA","NA","NA","NA","NA","NA"
"Lycopus-type",176,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Lysimachia undiff.",177,"NA","NA","NA","NA","NA","NA"
"Maclura pomifera-type",178,"NA","NA","URTICACX","URTICACX","NA","NA"
"Magnolia",179,"NA","NA","MAGNOLIACE","MAGNOLIACE","NA","NA"
"Malvaceae",180,"NA","Minor Forbs","MALVACEAE","MALVACEAE","NA","NA"
"Melilotus-type",181,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Menyanthes trifoliata",182,"NA","NA","ASTERX","NA","NA","NA"
"Fabaceae subf. Mimosoideae",183,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Unknown (monolete) undiff.",184,"NA","NA","NA","NA","NA","NA"
"Moraceae",185,"NA","NA","URTICACX","URTICACX","NA","NA"
"Morus",186,"NA","NA","URTICACX","URTICACX","NA","NA"
"Bryopsida undiff.",187,"NA","NA","NA","NA","NA","NA"
"Myriophyllum",188,"NA","NA","NA","NA","NA","NA"
"Nemopanthus",189,"NA","NA","NA","NA","NA","NA"
"Nuphar",190,"NA","NA","NA","NA","NA","NA"
"Nymphaeaceae undiff.",191,"NA","NA","NA","NA","NA","NA"
"Nymphaea",192,"NA","NA","NA","NA","NA","NA"
"Nyssa",193,"NA","Nyssa","NYSSA","NYSSA","NA","NA"
"Onagraceae undiff.",194,"NA","NA","ONAGRACEAE","ONAGRACEAE","NA","NA"
"Osmanthus",195,"NA","NA","NA","NA","NA","NA"
"Osmunda undiff.",196,"NA","NA","POLYPOD","POLYPOD","NA","NA"
